X,Y,Z,velocity
-5.0,-5.0,-10.0,-0.012012773798376097
-5.0,-5.0,-9.210526315789474,-0.00583387499586553
-5.0,-5.0,-8.421052631578947,-0.01203413224458793
-5.0,-5.0,-7.631578947368421,0.03704556369017877
-5.0,-5.0,-6.842105263157895,-0.0002699444947586637
-5.0,-5.0,-6.052631578947368,-0.02115421857911799
-5.0,-5.0,-5.2631578947368425,0.016450898242063798
-5.0,-5.0,-4.473684210526316,-0.024416872999420428
-5.0,-5.0,-3.6842105263157894,0.004177271900095125
-5.0,-5.0,-2.894736842105263,-0.0391934024775955
-5.0,-5.0,-2.1052631578947363,-0.0265637209779686
-5.0,-5.0,-1.3157894736842106,0.0039372247173824785
-5.0,-5.0,-0.526315789473685,0.014769331599908214
-5.0,-5.0,0.2631578947368425,0.003427365623799413
-5.0,-5.0,1.0526315789473681,-0.002312965647764809
-5.0,-5.0,1.8421052631578956,-0.006022073911785775
-5.0,-5.0,2.6315789473684212,-0.02957043980734855
-5.0,-5.0,3.421052631578947,-0.014396884167894173
-5.0,-5.0,4.210526315789474,-0.00921277541919575
-5.0,-5.0,5.0,0.021142444524378315
-5.0,-3.9655172413793105,-10.0,0.006872365791369262
-5.0,-3.9655172413793105,-9.210526315789474,-0.03526080310725462
-5.0,-3.9655172413793105,-8.421052631578947,0.0064816793878959824
-5.0,-3.9655172413793105,-7.631578947368421,-0.007701645608326218
-5.0,-3.9655172413793105,-6.842105263157895,-0.013538440006119033
-5.0,-3.9655172413793105,-6.052631578947368,0.012233525776817524
-5.0,-3.9655172413793105,-5.2631578947368425,0.020619990449919197
-5.0,-3.9655172413793105,-4.473684210526316,0.01862560238232415
-5.0,-3.9655172413793105,-3.6842105263157894,-0.016784350464452612
-5.0,-3.9655172413793105,-2.894736842105263,-0.006184247517024159
-5.0,-3.9655172413793105,-2.1052631578947363,0.0066252686280713815
-5.0,-3.9655172413793105,-1.3157894736842106,0.019510902542447257
-5.0,-3.9655172413793105,-0.526315789473685,-0.009583484756905753
-5.0,-3.9655172413793105,0.2631578947368425,-0.003713179533276314
-5.0,-3.9655172413793105,1.0526315789473681,-0.02212669948012055
-5.0,-3.9655172413793105,1.8421052631578956,-0.02392413248161341
