Node_ID,X,Y,Z,Amplitude,Travel_Time
1,-50.0,-50.0,46.794156437050894,3.4109591752357082,9.35883128741018
2,-16.666666666666664,-50.0,50.6683957224048,0.6157666588362649,10.133679144480961
3,16.66666666666667,-50.0,74.56381544001586,3.1955935476209554,14.912763088003171
4,50.0,-50.0,75.07455056262138,4.349113066213487,15.014910112524277
5,-50.0,-16.666666666666664,41.13180002266421,1.2131718013430002,8.226360004532841
6,-16.666666666666664,-16.666666666666664,92.69319178550376,4.254926326916355,18.53863835710075
7,16.66666666666667,-16.666666666666664,79.80824226482088,0.6010847718766426,15.961648452964175
8,50.0,-16.666666666666664,77.58933129086374,1.1819530834246819,15.517866258172749
9,-50.0,16.66666666666667,17.366726008786216,1.0365782906207135,3.473345201757243
10,-16.666666666666664,16.66666666666667,70.4552002145578,3.5761669774211233,14.091040042911562
11,16.66666666666667,16.66666666666667,40.10003173176578,4.4026618885940305,8.020006346353156
12,50.0,16.66666666666667,90.61418338303096,1.7672010009213956,18.12283667660619
13,-50.0,50.0,47.737966767771915,3.5680908812828083,9.547593353554383
14,-16.666666666666664,50.0,31.265202138373613,4.082708112596286,6.253040427674723
15,16.66666666666667,50.0,32.373212213557295,3.562688056509224,6.474642442711459
16,50.0,50.0,46.86315227256144,1.5120513424021613,9.372630454512288
